facebook.com,200,['157.240.8.35'],10,['192.168.43.144'; '10.194.121.250'; '10.194.27.17'; '10.194.121.233'; '124.19.61.165'; '173.252.67.171'; '157.240.65.150'; '157.240.47.81'; '10.40.0.8'; '157.240.8.35']
fonts.googleapis.com,404,['172.217.167.106'],11,['192.168.43.144'; '10.194.27.17'; '10.194.121.250'; '10.194.121.237'; '124.19.61.159'; '72.14.219.128'; '72.14.237.251'; '209.85.253.177'; '172.217.167.106'; '10.40.0.8'; '172.217.167.106']
twitter.com,200,['104.244.42.129'; '104.244.42.193'],10,['192.168.43.144'; '10.194.121.233'; '10.194.121.254'; '124.19.61.3'; '220.101.73.82'; '10.194.27.81'; '49.255.225.46'; '104.244.42.129'; '10.40.0.8'; '104.244.42.129']
google.com,200,['216.58.203.110'],10,['192.168.43.144'; '10.40.0.8'; '10.194.121.233'; '10.194.121.254'; '10.194.27.81'; '72.14.239.13'; '124.19.61.224'; '209.85.255.165'; '72.14.219.128'; '216.58.203.110']
youtube.com,200,['172.217.167.78'],10,['192.168.43.144'; '10.194.121.250'; '10.194.27.17'; '10.194.121.237'; '124.19.61.161'; '72.14.219.128'; '74.125.37.151'; '209.85.247.127'; '10.40.0.8'; '172.217.167.78']
instagram.com,429,['34.227.133.179'; '3.210.116.209'; '52.1.18.21'; '34.194.214.63'; '3.219.90.152'; '3.212.83.203'; '52.2.14.71'; '52.1.109.248'],11,['192.168.43.144'; '10.194.121.254'; '10.194.27.81'; '10.194.121.233'; '211.29.126.234'; '10.40.0.8'; '203.208.131.29'; '62.115.8.200'; '62.115.119.91'; '62.115.61.35'; '62.115.123.136']
s.w.org,200,['192.0.77.48'],10,['192.168.43.144'; '10.194.121.254'; '10.194.27.81'; '220.101.73.98'; '10.194.121.237'; '10.40.0.8'; '124.19.61.3'; '103.13.80.6'; '129.250.9.240'; '192.0.77.48']
googletagmanager.com,400,['216.58.196.136'],11,['192.168.43.144'; '10.194.121.250'; '10.194.27.17'; '209.85.142.137'; '72.14.239.249'; '10.194.121.233'; '59.154.18.236'; '72.14.219.128'; '216.58.196.136'; '10.40.0.8'; '216.58.196.136']
linkedin.com,200,['13.107.42.14'],8,['192.168.43.144'; '10.194.27.17'; '10.194.121.237'; '59.154.18.236'; '10.194.121.250'; '104.44.196.239'; '10.40.0.8'; '13.107.42.14']
gmpg.org,200,['66.155.40.24'],14,['192.168.43.144'; '10.194.27.81'; '10.194.121.254'; '10.194.121.233'; '211.29.126.230'; '10.40.0.8'; '203.208.131.29'; '203.208.171.118'; '203.208.172.233'; '203.208.171.117'; '203.208.149.254'; '66.155.40.24'; '206.72.210.79'; '66.155.40.24']
ajax.googleapis.com,200,['216.58.199.74'],11,['192.168.43.144'; '10.194.121.254'; '124.19.61.72'; '10.194.27.81'; '72.14.239.249'; '10.194.121.233'; '209.85.248.253'; '72.14.219.128'; '216.58.199.74'; '10.40.0.8'; '216.58.199.74']
plus.google.com,200,['172.217.25.174'],11,['192.168.43.144'; '10.194.121.250'; '108.170.235.193'; '10.194.27.17'; '124.19.61.165'; '72.14.219.128'; '10.194.121.237'; '72.14.237.251'; '172.217.25.174'; '10.40.0.8'; '172.217.25.174']
maps.google.com,200,['142.250.76.110'],11,['192.168.43.144'; '124.19.61.165'; '10.194.27.17'; '10.194.121.250'; '142.250.212.135'; '10.194.121.233'; '72.14.237.251'; '72.14.219.128'; '142.250.76.110'; '10.40.0.8'; '142.250.76.110']
youtu.be,200,['172.217.25.174'],11,['192.168.43.144'; '172.217.25.174'; '10.194.27.17'; '10.194.121.237'; '10.40.0.8'; '10.194.121.250'; '172.217.25.174'; '124.19.61.165'; '72.14.219.128'; '108.170.235.193'; '72.14.237.251']
wordpress.org,200,['198.143.164.252'],6,['192.168.43.144'; '10.194.121.254'; '10.194.121.237'; '10.194.27.81'; '211.29.126.234'; '10.40.0.8']
